Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
"lin, che-hao krude 林哲豪",Taiwan,natou county,20,50 kg,Specialty Coffee Association,2016,2016-07-15,Typica,Washed,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,7.25,81.58,0.1,0,0.0,green,0,800.0,800.0,800.0,Foundational/Mutation,50.0
acacia hills ltd,Tanzania,"oldeani , mongola",100,60 kg,Africa Fine Coffee Association,2014,2014-12-18,Other,Washed,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,10.0,7.25,81.58,0.12,0,0.0,green,5,1800.0,1800.0,1800.0,Other,60.0
afca,Malawi,mzuzu,10,60 kg,Africa Fine Coffee Association,2014,2014-10-31,Gesha,Washed,7.42,7.42,7.17,7.58,7.33,7.33,10.0,10.0,10.0,7.33,81.58,0.13,0,0.0,green,0,1100.0,1100.0,1100.0,Geisha,60.0
ipanema coffees,Brazil,south of minas,300,60 kg,NUCOFFEE,2014,2013-11-06,Yellow Bourbon,Washed,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,7.33,81.58,0.12,0,0.0,green,3,1260.0,1260.0,1260.0,Foundational/Mutation,60.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2013,2013-07-16,Bourbon,Washed,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,10.0,7.17,81.58,0.12,0,0.0,green,1,1310.64,1310.64,1310.64,Foundational/Mutation,69.0
fredy gordillo reyes,Mexico,"la concordia, chiapas",310,1 kg,AMECAFE,2013,2013-03-29,Typica,Washed,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,7.33,81.58,0.12,0,0.0,green,9,1400.0,1400.0,1400.0,Foundational/Mutation,1.0
enrique eduardo lopez aguilar,Mexico,la concordia,28,1 kg,AMECAFE,2012,2012-06-06,Marigojipe,Natural,7.33,7.5,7.25,7.5,7.5,7.17,10.0,10.0,10.0,7.33,81.58,0.11,0,0.0,green,0,1600.0,1600.0,1600.0,Other,1.0
enrique eduardo lopez aguilar,Mexico,la concordia,28,1 kg,AMECAFE,2012,2012-06-06,Typica,Natural,7.67,7.58,7.42,7.58,7.58,7.42,10.0,10.0,8.67,7.67,81.58,0.11,0,0.0,green,2,1650.0,1650.0,1650.0,Foundational/Mutation,1.0
doi chaang coffee company,Thailand,"doi chaang village, chiang rai, thialand",12,50 kg,Specialty Coffee Association,2011,2011-11-16,Typica,Washed,7.08,7.33,7.58,7.58,7.17,7.5,10.0,10.0,10.0,7.33,81.58,0.01,0,0.0,green,0,1499.9208,1499.9208,1499.9208,Foundational/Mutation,50.0
doi tung development project,Thailand,thailand,1,60 kg,Specialty Coffee Association,2011,2011-08-16,SL14,Washed,7.33,7.33,7.17,7.5,7.58,7.33,10.0,10.0,10.0,7.33,81.58,0.2,0,0.0,green,0,1300.0,1310.64,1310.64,SL-Selection,60.0
juan luis alvarado romero,Guatemala,santa rosa,50,69 kg,Asociacion Nacional Del Café,2017,2017-08-23,Bourbon,Washed,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,7.58,81.5,0.1,0,0.0,green,0,1219.2,1219.2,1219.2,Foundational/Mutation,69.0
"exportadora atlantic, s.a.",Nicaragua,jalapa,550,69 kg,Instituto Hondureño del Café,2017,2017-06-20,Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0.0,green,3,1100.0,1100.0,1100.0,Foundational/Mutation,69.0
elsy reyes,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,2017,2017-06-03,Caturra,Washed,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,7.33,81.5,0.1,0,0.0,green,5,1400.0,1400.0,1400.0,Foundational/Mutation,69.0
juan luis alvarado romero,Guatemala,santa rosa,50,69 kg,Asociacion Nacional Del Café,2017,2017-06-01,Bourbon,Washed,7.5,7.42,7.25,7.25,7.5,7.25,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,green,0,1300.0,1310.64,1310.64,Foundational/Mutation,69.0
cqi taiwan icp cqi台灣合作夥伴,Taiwan,古坑鄉荷包村尖山坑60號,123,2 kg,Blossom Valley International,2015,2015-09-17,Typica,Natural,7.5,7.42,7.33,7.08,7.58,7.25,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,green,2,160.0,200.0,180.0,Foundational/Mutation,2.0
santa laura exportadora de cafe s.l.e.c. s.a.,Costa Rica,occidental,250,1 kg,Specialty Coffee Association of Costa Rica,2014,2015-01-07,Caturra,Washed,7.83,7.33,7.08,7.08,7.33,7.5,10.0,10.0,10.0,7.33,81.5,0.12,1,0.0,green,2,1200.0,1200.0,1200.0,Foundational/Mutation,1.0
afca,Malawi,mzuzu,15,60 kg,Africa Fine Coffee Association,2014,2014-11-04,Gesha,Washed,7.67,7.42,6.92,7.5,7.5,7.17,10.0,10.0,10.0,7.33,81.5,0.12,0,0.0,green,0,1599.0,1599.0,1599.0,Geisha,60.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2014,2014-09-23,Other,Washed,7.5,7.42,7.17,7.58,7.25,7.42,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,0,1219.2,1219.2,1219.2,Other,69.0
"lin, che-hao krude 林哲豪",Taiwan,natou county,50,20 kg,Specialty Coffee Association,2014,2014-08-18,Typica,Washed,7.42,7.33,7.67,7.33,7.42,7.5,10.0,10.0,9.33,7.5,81.5,0.11,0,0.0,green,0,900.0,900.0,900.0,Foundational/Mutation,20.0
myriam kaplan-pasternak,Haiti,"dondon, haiti",300,4 lbs,Specialty Coffee Association,2013,2014-05-05,Blue Mountain,Washed,7.42,7.33,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.5,0.11,0,0.0,green,0,400.0,1250.0,825.0,Specialty Regional,4.0
cqi taiwan icp cqi台灣合作夥伴,Taiwan,taichung xinshe 台中市新社區,5,30 kg,Blossom Valley International,2014,2013-12-26,Typica,Other,7.5,7.42,7.25,7.25,7.33,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0.0,green,0,600.0,600.0,600.0,Foundational/Mutation,30.0
alfredo bojalil,Mexico,"la concordia, chiapas",250,1 kg,AMECAFE,2013,2013-03-11,Typica,Washed,7.33,7.33,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.25,81.5,0.13,0,0.0,green,2,1150.0,1150.0,1150.0,Foundational/Mutation,1.0
alfredo bojalil,Mexico,amatenango de la frontera,250,1 kg,AMECAFE,2012,2012-08-30,Typica,Washed,7.58,7.42,7.25,7.42,7.33,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,5,1600.0,1600.0,1600.0,Foundational/Mutation,1.0
jose luis munoz guerrero,Mexico,temaxcalapa,30,1 kg,AMECAFE,2012,2012-08-29,Catuai,Washed,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,10.0,7.08,81.5,0.12,0,0.0,green,10,1100.0,1100.0,1100.0,Hybrid,1.0
jose luis munoz guerrero,Mexico,manzanillo,20,1 kg,AMECAFE,2012,2012-08-01,Typica,Semi-Washed,7.33,7.5,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.25,81.5,0.11,0,0.0,green,6,1000.0,1000.0,1000.0,Foundational/Mutation,1.0
tomas edelmann blass,Mexico,tapachula,50,80 kg,AMECAFE,2012,2012-07-26,Bourbon,Washed,7.42,7.42,7.33,7.17,7.25,7.42,10.0,10.0,10.0,7.5,81.5,0.13,0,0.0,green,5,1250.0,1250.0,1250.0,Foundational/Mutation,80.0
maria de la paz aguilar guillen,Mexico,atoyac de alvarez,15,1 kg,AMECAFE,2012,2012-07-26,Typica,Natural,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10.0,10.0,7.42,81.5,0.11,0,0.0,green,3,1100.0,1100.0,1100.0,Foundational/Mutation,1.0
specialty coffee association of indonesia,Indonesia,ijen,10,60 kg,Specialty Coffee Association of Indonesia,2012,2012-05-24,Other,Washed,7.75,7.17,7.17,7.33,7.58,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,0,1200.0,1600.0,1400.0,Other,60.0
jacques pereira carneiro,Brazil,sul de minas,300,1 kg,NUCOFFEE,2012,2012-04-12,Bourbon,Semi-Washed,7.5,7.42,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.17,81.5,0.12,0,0.0,green,2,125.0,125.0,125.0,Foundational/Mutation,1.0
juan luis alvarado romero,Guatemala,oriente,250,1 kg,Asociacion Nacional Del Café,2012,2012-01-25,Bourbon,Washed,7.33,7.5,7.33,7.42,7.17,7.33,10.0,10.0,10.0,7.42,81.5,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Foundational/Mutation,1.0
racafe & cia s.c.a,Colombia,cauca,250,70 kg,Almacafé,2011,2011-09-07,Bourbon,Washed,7.42,7.42,7.17,7.42,7.42,7.33,10.0,10.0,10.0,7.33,81.5,0.06,1,0.0,green,0,1050.0,1850.0,1450.0,Foundational/Mutation,70.0
cafes tomari sa de cv,Mexico,veracruz,200,69 kg,Centro Agroecológico del Café A.C.,2017,2017-05-12,Mundo Novo,Washed,7.58,7.33,7.08,7.33,7.5,7.33,10.0,10.0,10.0,7.25,81.42,0.12,1,5.0,green,17,1100.0,1100.0,1100.0,Hybrid,69.0
juan luis alvarado romero,Guatemala,san marcos,450,69 kg,Asociacion Nacional Del Café,2016,2016-03-17,Catuai,Washed,7.42,7.33,7.08,7.58,7.33,7.25,10.0,10.0,10.0,7.42,81.42,0.1,0,0.0,green,0,1371.6,1371.6,1371.6,Hybrid,69.0
cafebras,Brazil,cerrado,300,60 kg,Brazil Specialty Coffee Association,2016,2015-12-03,Catuai,Natural,7.33,7.5,7.5,7.33,6.83,7.42,10.0,10.0,10.0,7.5,81.42,0.11,0,0.0,green,2,1100.0,1100.0,1100.0,Hybrid,60.0
cadexsa,Honduras,marcala,275,1 kg,Instituto Hondureño del Café,2015,2015-05-12,Catuai,Washed,7.5,7.33,7.17,7.25,7.5,7.42,10.0,10.0,10.0,7.25,81.42,0.12,0,0.0,green,1,1400.0,1400.0,1400.0,Hybrid,1.0
cqi taiwan icp cqi台灣合作夥伴,Taiwan,苗栗三灣,10,60 kg,Blossom Valley International,2014,2014-11-23,Typica,Washed,7.83,7.75,7.42,7.17,7.08,7.08,10.0,10.0,10.0,7.08,81.42,0.12,0,0.0,green,0,110.0,110.0,110.0,Foundational/Mutation,60.0
afca,Malawi,mzuzu,12,60 kg,Africa Fine Coffee Association,2014,2014-11-04,Gesha,Washed,7.58,7.17,7.33,7.42,7.08,7.42,10.0,10.0,10.0,7.42,81.42,0.12,0,0.0,green,0,1422.0,1422.0,1422.0,Geisha,60.0
juan luis alvarado romero,Guatemala,"san lucas toliman, solola",250,69 kg,Asociacion Nacional Del Café,2014,2014-05-26,Bourbon,Washed,7.42,7.5,7.17,7.42,7.42,7.42,10.0,10.0,10.0,7.08,81.42,0.1,0,0.0,green,6,1550.0,1550.0,1550.0,Foundational/Mutation,69.0
dane loraas,Peru,puno,280,5 lbs,Specialty Coffee Association,2013,2014-02-27,Other,Washed,7.42,7.42,7.17,7.33,7.42,7.42,10.0,10.0,10.0,7.25,81.42,0.1,1,0.0,green,5,1300.0,1310.64,1310.64,Other,5.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2013,2013-10-07,Bourbon,Washed,7.42,7.33,7.25,7.42,7.42,7.5,10.0,10.0,10.0,7.08,81.42,0.12,0,0.0,green,4,1310.64,1310.64,1310.64,Foundational/Mutation,69.0
saul m. hernandez ramirez,Mexico,"huazalingo, hidalgo",10,1 kg,AMECAFE,2012,2012-09-27,Caturra,Washed,7.42,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.58,81.42,0.13,1,0.0,green,8,763.0,763.0,763.0,Foundational/Mutation,1.0
grupo cafetalero los brujos spr de rl,Mexico,"coatepec, coatepec",20,1 kg,AMECAFE,2012,2012-06-06,Typica,Washed,7.42,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,7.25,81.42,0.13,0,0.0,green-yellow,1,1100.0,1100.0,1100.0,Foundational/Mutation,1.0
exportadora de cafe condor s.a,Colombia,huila,250,70 kg,Almacafé,2011,2011-11-11,Caturra,Natural,7.5,7.42,7.25,7.17,7.17,7.75,10.0,10.0,10.0,7.17,81.42,0.11,0,0.0,green,0,1750.0,1750.0,1750.0,Foundational/Mutation,70.0
exportadora de cafe condor s.a,Colombia,cauca,250,70 kg,Almacafé,2010,2011-02-22,Caturra,Washed,7.75,7.33,7.42,7.0,7.33,7.25,10.0,10.0,10.0,7.33,81.42,0.16,0,0.0,green,2,1880.0,1880.0,1880.0,Foundational/Mutation,70.0
kona pacific farmers cooperative,Hawaii,kona,27,0 lbs,Specialty Coffee Association,2012,2010-05-24,Peaberry,Natural,7.83,7.0,7.0,7.58,7.58,7.5,10.0,10.0,10.0,6.92,81.42,0.01,0,0.0,green,10,1300.0,1310.64,1310.64,Other,0.0
bismarck castro,Honduras,comayagua,275,69 kg,Instituto Hondureño del Café,2017,2016-06-09,Caturra,Washed,7.5,7.5,7.0,7.17,7.5,7.33,10.0,10.0,10.0,7.33,81.33,0.11,0,2.0,green,3,1500.0,1500.0,1500.0,Foundational/Mutation,69.0
angel oscar medina rodriguez,Mexico,veracruz,220,69 kg,Centro Agroecológico del Café A.C.,2016,2016-02-25,Java,Semi-Washed,7.67,7.42,7.0,7.42,7.58,7.08,10.0,10.0,10.0,7.17,81.33,0.12,0,2.0,green,0,1130.0,1130.0,1130.0,Foundational/Mutation,69.0
cafebras,Brazil,cerrado,300,60 kg,Brazil Specialty Coffee Association,2016,2015-11-20,Catuai,Natural,7.25,7.33,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.33,81.33,0.11,0,0.0,green,14,1100.0,1100.0,1100.0,Hybrid,60.0
cadexsa,Honduras,marcala,275,1 kg,Instituto Hondureño del Café,2015,2015-05-22,Catuai,Washed,7.58,7.42,7.17,7.42,7.17,7.17,10.0,10.0,10.0,7.42,81.33,0.09,0,0.0,green,4,1350.0,1350.0,1350.0,Hybrid,1.0
jacques pereira carneiro,Brazil,mantiqueira de minas,300,60 kg,Brazil Specialty Coffee Association,2015,2014-12-16,Yellow Bourbon,Other,7.17,7.33,7.42,7.25,7.42,7.33,10.0,10.0,10.0,7.42,81.33,0.12,0,0.0,green,6,1200.0,1200.0,1200.0,Foundational/Mutation,60.0
victoria,Philippines,"davao city, region 11",2,2 kg,Specialty Coffee Association,2014,2014-11-13,Other,Washed,7.08,7.33,7.42,7.33,7.33,7.5,10.0,10.0,10.0,7.33,81.33,0.14,0,0.0,green,3,1400.0,1400.0,1400.0,Other,2.0
afca,Malawi,mzuzu,31,60 kg,Africa Fine Coffee Association,2014,2014-11-04,Gesha,Washed,7.75,7.33,7.08,7.33,7.33,7.25,10.0,10.0,10.0,7.25,81.33,0.13,0,0.0,green,1,1200.0,1200.0,1200.0,Geisha,60.0
mayra yessenia torres,Honduras,san marcos,275,1 kg,Instituto Hondureño del Café,2014,2014-01-22,Catuai,Washed,7.33,7.33,7.17,7.33,7.5,7.33,10.0,10.0,10.0,7.33,81.33,0.12,0,0.0,green,3,1450.0,1450.0,1450.0,Hybrid,1.0
julio perez hernandez,Mexico,tapachula,250,1 kg,AMECAFE,2012,2012-08-30,Typica,Washed,7.58,7.42,7.25,7.33,7.25,7.25,10.0,10.0,10.0,7.25,81.33,0.13,4,0.0,green,13,1800.0,1800.0,1800.0,Foundational/Mutation,1.0
hector gabriel barreda nader,Mexico,veracruz,70,1 kg,AMECAFE,2012,2012-07-11,Typica,Washed,7.33,7.25,7.17,7.42,7.58,7.33,10.0,10.0,10.0,7.25,81.33,0.12,0,0.0,green,4,1000.0,1000.0,1000.0,Foundational/Mutation,1.0
"lin, che-hao krude 林哲豪",Taiwan,"dongshan dist., tainan city 台南市東山區",20,50 kg,Specialty Coffee Association,2015,2016-05-18,Typica,Natural,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10.0,10.0,5.25,81.25,0.12,0,0.0,green,0,680.0,680.0,680.0,Foundational/Mutation,50.0
"comercial internacional exportadora, s.a.",Nicaragua,jinotega,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2015,2015-07-06,Catuai,Washed,7.08,7.5,7.33,7.17,7.42,7.25,10.0,10.0,10.0,7.5,81.25,0.1,0,0.0,green,4,1100.0,1100.0,1100.0,Hybrid,69.0
cadexsa,Honduras,marcala,275,1 kg,Instituto Hondureño del Café,2015,2015-05-12,Catuai,Washed,7.42,7.17,7.17,7.5,7.33,7.25,10.0,10.0,10.0,7.42,81.25,0.12,0,0.0,green,1,1400.0,1400.0,1400.0,Hybrid,1.0
essencecoffee,Guatemala,huehuetenango,36,55 lbs,Blossom Valley International,2014,2015-03-21,Pacamara,Washed,7.33,7.42,7.17,7.25,7.42,7.33,10.0,10.0,10.0,7.33,81.25,0.09,0,0.0,green,2,1700.0,1700.0,1700.0,Hybrid,55.0
shangrilla estate ltd,Tanzania,karatu ngorogoro,100,60 kg,Africa Fine Coffee Association,2014,2014-12-17,Other,Washed,7.33,7.17,7.17,7.5,7.25,7.42,10.0,10.0,10.0,7.42,81.25,0.13,0,0.0,green,5,1700.0,1700.0,1700.0,Other,60.0
cqi taiwan icp cqi台灣合作夥伴,Taiwan,nantou,10,30 kg,Blossom Valley International,2014,2013-12-26,Typica,Semi-Washed,7.5,7.5,7.25,7.25,7.25,7.25,10.0,10.0,10.0,7.25,81.25,0.11,0,0.0,green,0,650.0,650.0,650.0,Foundational/Mutation,30.0
juan luis alvarado romero,Guatemala,"sacatepequez, guatemala",250,69 kg,Asociacion Nacional Del Café,2013,2013-03-04,Caturra,Washed,7.5,7.33,7.5,7.58,7.0,7.25,10.0,10.0,10.0,7.08,81.25,0.11,0,0.0,green,4,1524.0,1524.0,1524.0,Foundational/Mutation,69.0
alfredo bojalil,Mexico,motozintla,250,1 kg,AMECAFE,2012,2012-07-26,Typica,Washed,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10.0,10.0,7.5,81.25,0.12,0,0.0,green,1,1500.0,1500.0,1500.0,Foundational/Mutation,1.0
"exportadora atlantic, s.a.",Nicaragua,"dipilto, nueva segovia",275,69 kg,Instituto Hondureño del Café,2016,2017-03-08,Catimor,Washed,7.33,7.5,7.17,7.17,7.58,7.17,10.0,10.0,10.0,7.25,81.17,0.09,0,0.0,green,7,1200.0,1200.0,1200.0,Hybrid,69.0
immaculata john,Tanzania,"ruvuma, mbinga",100,60 kg,Africa Fine Coffee Association,2016,2015-11-16,Bourbon,Washed,7.67,7.17,7.17,7.33,7.5,7.17,10.0,10.0,10.0,7.17,81.17,0.12,0,0.0,green,2,100.0,2000.0,1050.0,Foundational/Mutation,60.0
andreas kussmaul,Mexico,"chiapas, jaltenango",275,1 kg,Asociación Mexicana De Cafés y Cafeterías De Especialidad A.C.,2015,2015-06-25,Caturra,Washed,7.75,7.58,7.08,7.25,7.08,7.25,10.0,10.0,10.0,7.17,81.17,0.12,0,0.0,green,10,1200.0,1200.0,1200.0,Foundational/Mutation,1.0
"cafetalera internacional cafinter, s.a.",Costa Rica,tres rios,275,18975 kg,Specialty Coffee Association of Costa Rica,2015,2015-05-22,Caturra,Washed,7.5,7.5,7.33,7.17,7.08,7.17,10.0,10.0,10.0,7.42,81.17,0.11,0,0.0,green,0,1200.0,1400.0,1300.0,Foundational/Mutation,18975.0
松澤宏樹 koju matsuzawa,Thailand,chiangrai,20,20 kg,Specialty Coffee Institute of Asia,2014,2015-02-15,Caturra,Washed,6.83,7.42,7.42,7.17,7.5,7.42,10.0,10.0,10.0,7.42,81.17,0.12,0,0.0,green,0,1400.0,1500.0,1450.0,Foundational/Mutation,20.0
taylor winch (t) ltd,Tanzania,mbinga,320,60 kg,Africa Fine Coffee Association,2014,2014-12-17,Bourbon,Washed,7.58,7.17,7.17,7.33,7.33,7.25,10.0,10.0,10.0,7.33,81.17,0.12,0,0.0,green,2,1550.0,1550.0,1550.0,Foundational/Mutation,60.0
afca,Malawi,southern- zomba,300,60 kg,Africa Fine Coffee Association,2014,2014-11-04,Caturra,Washed,7.58,7.25,7.33,7.08,7.33,7.33,10.0,10.0,10.0,7.25,81.17,0.12,0,0.0,green,12,990.0,1000.0,995.0,Foundational/Mutation,60.0
eric thormaehlen,Costa Rica,central valley,250,1 kg,Specialty Coffee Association of Costa Rica,2014,2014-05-09,Catuai,Washed,7.33,7.08,7.33,7.25,7.33,7.58,10.0,10.0,10.0,7.25,81.17,0.11,0,0.0,green,3,1200.0,1400.0,1300.0,Hybrid,1.0
bourbon specialty coffees,Brazil,monte carmelo,300,1 kg,NUCOFFEE,2013,2014-02-04,Catuai,Natural,7.42,7.42,7.17,7.42,7.33,7.25,10.0,10.0,10.0,7.17,81.17,0.11,0,0.0,green,3,1300.0,1310.64,1310.64,Hybrid,1.0
julio perez hernandez,Mexico,tapachula,250,1 kg,AMECAFE,2012,2012-08-30,Typica,Natural,7.42,7.25,7.08,7.75,7.42,7.17,10.0,10.0,10.0,7.08,81.17,0.13,3,0.0,green,7,1800.0,1800.0,1800.0,Foundational/Mutation,1.0
the coffee source inc.,Guatemala,oriente,250,1 kg,Specialty Coffee Association,2012,2012-08-20,Caturra,Washed,7.42,7.25,7.33,7.25,7.25,7.42,10.0,10.0,10.0,7.25,81.17,0.12,0,0.0,green,4,1450.0,1450.0,1450.0,Foundational/Mutation,1.0
nucoffee,Brazil,south of minas,17,60 kg,NUCOFFEE,2012,2012-01-23,Mundo Novo,Natural,7.42,7.33,7.25,7.42,7.5,7.17,10.0,10.0,10.0,7.08,81.17,0.12,0,0.0,green,1,1000.0,1000.0,1000.0,Hybrid,60.0
kona pacific farmers cooperative,Hawaii,kona,4,100 lbs,Specialty Coffee Association,2012,2011-09-22,Heirloom Yirgacheffe Varietal,Washed,7.25,7.75,7.67,7.67,7.42,7.67,8.67,9.33,10.0,7.75,81.17,0.04,3,0.0,green,0,1300.0,1310.64,1310.64,Ethiopian Heirloom,100.0
kerchanshe,Ethiopia,sidamo,300,60 kg,Specialty Coffee Institute of Asia,2016,2017-07-14,Typica,Natural,7.42,7.33,7.17,7.33,7.42,7.17,10.0,10.0,10.0,7.25,81.08,0.11,0,0.0,green,1,1300.0,1310.64,1310.64,Foundational/Mutation,60.0
gregorio sebba,Brazil,alta paulista (sao paulo),500,60 kg,Specialty Coffee Association,2016,2017-06-21,Mundo Novo,Natural,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10.0,9.33,7.33,81.08,0.11,5,0.0,green,8,695.0,695.0,695.0,Hybrid,60.0
rolando lacayo,Nicaragua,jinotega,275,69 kg,Asociación de Cafés Especiales de Nicaragua,2015,2015-03-28,Other,Washed,7.33,7.33,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.0,81.08,0.11,0,0.0,green,1,1100.0,1100.0,1100.0,Other,69.0
taylor winch (t) ltd,Tanzania,"iwala village, mbeya rural",54,60 kg,Africa Fine Coffee Association,2014,2015-01-02,Other,Washed,7.42,7.33,7.33,7.25,7.25,7.33,10.0,10.0,10.0,7.17,81.08,0.13,0,0.0,green,2,1456.0,1456.0,1456.0,Other,60.0
the coffee source inc.,Costa Rica,naranjo,250,1 kg,Specialty Coffee Association of Costa Rica,2014,2014-12-18,Caturra,Washed,7.42,7.25,7.17,7.25,7.25,7.58,10.0,10.0,10.0,7.17,81.08,0.13,0,0.0,green,0,1500.0,1500.0,1500.0,Foundational/Mutation,1.0
obed rendon ponce,Mexico,san fernando,100,1 kg,AMECAFE,2012,2012-09-14,Typica,Washed,7.25,7.42,7.33,7.33,7.17,7.33,10.0,10.0,10.0,7.25,81.08,0.13,5,0.0,green,16,1650.0,1650.0,1650.0,Foundational/Mutation,1.0
diego manuel woolrich ramirez,Mexico,santo reyes nopala,30,1 kg,AMECAFE,2012,2012-09-04,Typica,Washed,7.33,7.25,7.33,7.42,7.25,7.42,10.0,10.0,10.0,7.08,81.08,0.12,0,0.0,green,2,1300.0,1300.0,1300.0,Foundational/Mutation,1.0
gerardo hernandez valderrabano,Mexico,santa maria sitepec,40,1 kg,AMECAFE,2012,2012-08-30,Typica,Washed,7.33,7.33,7.25,7.42,7.25,7.25,10.0,10.0,10.0,7.25,81.08,0.11,0,0.0,green,5,1642.0,1642.0,1642.0,Foundational/Mutation,1.0
balbino ramirez flores,Mexico,talpa de allende,15,1 kg,AMECAFE,2012,2012-07-03,Typica,Washed,7.42,7.33,7.25,7.42,7.17,7.25,10.0,10.0,10.0,7.25,81.08,0.1,0,0.0,green,1,1200.0,1200.0,1200.0,Foundational/Mutation,1.0
kona pacific farmers cooperative,Hawaii,kona,2,100 lbs,Specialty Coffee Association,2012,2012-02-13,Hawaiian Kona,Washed,7.42,7.42,7.25,7.58,6.92,7.17,10.0,10.0,10.0,7.33,81.08,0.06,0,0.0,green,0,1300.0,1310.64,1310.64,Specialty Regional,100.0
bourbon specialty coffees,Brazil,grama valley,300,59 kg,Brazil Specialty Coffee Association,2012,2018-01-16,Bourbon,Honey,7.25,7.25,7.17,7.5,7.33,7.17,10.0,10.0,10.0,7.33,81.0,0.11,0,6.0,green,9,1300.0,1310.64,1310.64,Foundational/Mutation,59.0
bourbon specialty coffees,Brazil,grama valley,300,59 kg,Brazil Specialty Coffee Association,2017,2016-09-09,Yellow Bourbon,Honey,7.33,7.17,7.17,7.67,7.33,7.17,10.0,10.0,10.0,7.17,81.0,0.11,0,2.0,green,3,1300.0,1310.64,1310.64,Foundational/Mutation,59.0
juan luis alvarado romero,Guatemala,norte,120,69 kg,Asociacion Nacional Del Café,2016,2016-08-02,Bourbon,Washed,7.42,7.25,7.17,7.5,7.25,7.17,10.0,10.0,10.0,7.25,81.0,0.09,0,0.0,green,8,3280.0,3280.0,3280.0,Foundational/Mutation,69.0
juan luis alvarado romero,Guatemala,oriente,250,69 kg,Asociacion Nacional Del Café,2015,2015-07-23,Bourbon,Washed,7.5,7.25,7.0,7.25,7.5,7.25,10.0,10.0,10.0,7.25,81.0,0.11,0,0.0,green,1,1219.2,1219.2,1219.2,Foundational/Mutation,69.0
"lin, che-hao krude 林哲豪",Taiwan,"dongshan dist., tainan city 臺南市東山區",10,5 kg,Specialty Coffee Association,2015,2015-05-06,Typica,Washed,7.25,7.17,7.17,7.25,7.5,7.33,10.0,10.0,10.0,7.33,81.0,0.12,0,0.0,green,0,758.0,758.0,758.0,Foundational/Mutation,5.0
mayra yessenia torres,Honduras,san marcos,275,18975 kg,Instituto Hondureño del Café,2014,2015-01-26,Caturra,Natural,7.42,7.25,7.25,7.33,7.25,7.17,10.0,10.0,10.0,7.33,81.0,0.12,0,0.0,green,1,1350.0,1350.0,1350.0,Foundational/Mutation,18975.0
bourbon specialty coffees,Brazil,cerrado,300,60 kg,Brazil Specialty Coffee Association,2014,2015-01-15,Mundo Novo,Natural,7.67,7.75,7.83,7.75,7.83,7.75,10.0,6.67,10.0,7.75,81.0,0.12,0,0.0,green,0,1300.0,1310.64,1310.64,Hybrid,60.0
