Owner,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,altitude_low_meters,altitude_high_meters,altitude_mean_meters,Variety.Simplified,Bag.Weight.Kg
enrique mitre lopez,Mexico,zapotitlan de mendez,10,1 kg,AMECAFE,2012,2012-07-26,Typica,Washed,7.67,7.5,7.33,7.67,7.5,7.33,10.0,10.0,10.0,7.5,82.5,0.12,0,0.0,green,5,1100.0,1100.0,1100.0,Foundational/Mutation,1.0
enrique eduardo lopez aguilar,Mexico,la concordia,28,1 kg,AMECAFE,2012,2012-06-07,Typica,Semi-Washed,7.92,7.5,7.33,7.58,7.25,7.42,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,green,2,1650.0,1650.0,1650.0,Foundational/Mutation,1.0
juan luis alvarado romero,Guatemala,oriente,275,1 kg,Asociacion Nacional Del Café,2012,2012-03-26,Caturra,Natural,7.67,7.33,7.33,7.33,7.5,7.83,10.0,10.0,10.0,7.5,82.5,0.11,0,0.0,green,5,1300.0,1310.64,1310.64,Foundational/Mutation,1.0
racafe & cia s.c.a,Colombia,huila,275,70 kg,Almacafé,2012,2012-03-05,Caturra,Washed,7.67,7.5,7.33,7.5,7.25,7.67,10.0,10.0,10.0,7.58,82.5,0.11,1,0.0,green,3,1600.0,1950.0,1775.0,Foundational/Mutation,70.0
kona pacific farmers cooperative,Hawaii,kona,7,100 lbs,Specialty Coffee Association,2012,2012-02-23,Hawaiian Kona,Washed,7.33,7.42,7.33,7.75,7.42,7.67,10.0,10.0,10.0,7.58,82.5,0.12,2,0.0,green,3,1300.0,1310.64,1310.64,Specialty Regional,100.0
adam kline,Guatemala,huehuetenango,245,1,Specialty Coffee Association,2012,2010-07-23,Bourbon,Washed,7.75,7.58,7.67,7.67,7.58,7.58,9.33,10.0,10.0,7.33,82.5,0.01,1,0.0,green,14,1600.0,1600.0,1600.0,Foundational/Mutation,1.0
brian beck,Honduras,"comayagua, honduras",1,2 kg,Specialty Coffee Association,2017,2017-09-27,Other,Washed,7.42,7.67,7.17,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.42,0.12,0,1.0,green,6,1500.0,1500.0,1500.0,Other,2.0
juan luis alvarado romero,Guatemala,san marcos,50,69 kg,Asociacion Nacional Del Café,2017,2017-09-08,Bourbon,Washed,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,82.42,0.1,0,1.0,green,2,1700.0,1700.0,1700.0,Foundational/Mutation,69.0
juan luis alvarado romero,Guatemala,san marcos,50,69 kg,Asociacion Nacional Del Café,2016,2017-06-01,Bourbon,Washed,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,82.42,0.12,0,0.0,green,0,1700.0,1700.0,1700.0,Foundational/Mutation,69.0
juan luis alvarado romero,Guatemala,el progreso,20,69 kg,Asociacion Nacional Del Café,2017,2017-06-01,Bourbon,Washed,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,green,0,157.8864,157.8864,157.8864,Foundational/Mutation,69.0
juan luis alvarado romero,Guatemala,santa rosa,275,69 kg,Asociacion Nacional Del Café,2017,2017-01-20,Caturra,Washed,7.5,7.42,7.08,7.75,7.67,7.5,10.0,10.0,10.0,7.5,82.42,0.11,0,2.0,green,3,1300.0,1310.64,1310.64,Foundational/Mutation,69.0
racafe & cia s.c.a,Colombia,guayata,43,70 kg,Almacafé,2016,2016-08-05,Caturra,Washed,5.08,7.75,7.83,7.75,7.83,8.08,10.0,10.0,10.0,8.08,82.42,0.11,0,0.0,green,1,1600.0,1600.0,1600.0,Foundational/Mutation,70.0
yunnan coffee exchange,China,yunnan,3,60 kg,Yunnan Coffee Exchange,2015,2016-04-06,Catimor,Washed,7.67,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.42,0.1,0,0.0,green,0,1600.0,1600.0,1600.0,Hybrid,60.0
bourbon specialty coffees,Brazil,campos altos - cerrado,300,60 kg,Brazil Specialty Coffee Association,2016,2016-01-12,Catimor,Washed,7.42,7.5,7.33,7.5,7.25,7.42,10.0,10.0,10.0,8.0,82.42,0.11,0,1.0,green,0,1300.0,1310.64,1310.64,Hybrid,60.0
gladness obed pallangyo,Tanzania,arusha meru,10,60 kg,Africa Fine Coffee Association,2016,2015-11-16,Ruiru 11,Washed,7.67,7.25,7.42,7.42,7.67,7.42,10.0,10.0,10.0,7.58,82.42,0.13,0,0.0,green,7,2285.0,2285.0,2285.0,Hybrid,60.0
the coffee source inc.,Guatemala,atitlan,250,1 kg,Specialty Coffee Association of Costa Rica,2013,2014-12-18,Caturra,Washed,7.5,7.5,7.5,7.67,7.42,7.5,10.0,10.0,10.0,7.33,82.42,0.1,0,0.0,green,0,1400.0,1400.0,1400.0,Foundational/Mutation,1.0
productos y servicios chilindron s.a. de c.v.,Mexico,la yerba,10,1 kg,AMECAFE,2014,2014-08-14,Typica,Washed,7.42,7.5,7.42,7.58,7.42,7.5,10.0,10.0,10.0,7.58,82.42,0.11,0,0.0,green,0,1296.0,1296.0,1296.0,Foundational/Mutation,1.0
nucoffee,Brazil,south of minas,39,60 kg,NUCOFFEE,2012,2014-05-08,Catuai,Semi-Washed,7.58,7.67,7.33,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,green,1,1000.0,1000.0,1000.0,Hybrid,60.0
manuel herrera juarez,Mexico,veracruz,10,1 kg,AMECAFE,2013,2013-12-12,Bourbon,Washed,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10.0,10.0,7.5,82.42,0.12,0,0.0,green,0,1170.0,1170.0,1170.0,Foundational/Mutation,1.0
brent hall,Honduras,marcala,1,2 kg,Specialty Coffee Association,2012,2013-12-10,Other,Washed,7.25,7.67,7.42,7.17,7.75,7.5,10.0,10.0,10.0,7.67,82.42,0.09,0,0.0,green,2,1300.0,1310.64,1310.64,Other,2.0
racafe & cia s.c.a,Colombia,huila,250,70 kg,Almacafé,2013,2013-05-31,Caturra,Washed,7.67,7.42,7.33,7.5,7.58,7.5,10.0,10.0,10.0,7.42,82.42,0.11,0,0.0,green,9,1600.0,1950.0,1775.0,Foundational/Mutation,70.0
nestor mendez gomez,Mexico,chiapas,49,1 kg,AMECAFE,2013,2013-03-29,Typica,Washed,7.5,7.42,7.42,7.67,7.42,7.58,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,green,5,1560.0,1560.0,1560.0,Foundational/Mutation,1.0
jesus salazar velasco,Mexico,san pedro cotzilnam,20,1 kg,AMECAFE,2012,2012-09-11,Typica,Semi-Washed,7.42,7.58,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.42,82.42,0.13,0,0.0,green,2,1400.0,1400.0,1400.0,Foundational/Mutation,1.0
"el equimite, cafetal biodinámico",Mexico,coatepec,35,1 kg,AMECAFE,2012,2012-09-10,Typica,Washed,7.42,7.58,7.33,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.42,0.14,0,0.0,green,9,1300.0,1300.0,1300.0,Foundational/Mutation,1.0
manuel herrera juarez,Mexico,xalapa,10,1 kg,AMECAFE,2012,2012-08-31,Caturra,Washed,7.75,7.33,7.25,7.58,7.58,7.33,10.0,10.0,10.0,7.58,82.42,0.13,0,0.0,green,1,1170.0,1170.0,1170.0,Foundational/Mutation,1.0
